date,store_id,product_id,price,units,revenue,promo,stockout,holiday_window,anomaly
2023-01-02,S04,P03,16.13,12,193.55,0,0,0,none
2023-01-02,S04,P04,19.91,18,358.33,0,0,0,none
2023-01-02,S04,P05,21.65,16,346.48,0,0,0,none
2023-01-02,S04,P06,18.14,24,435.47,0,0,0,none
2023-01-02,S04,P07,22.48,14,314.68,0,0,0,none
2023-01-02,S04,P08,22.34,14,312.72,0,0,0,none
2023-01-02,S04,P09,35.04,11,385.45,0,0,0,none
2023-01-02,S04,P10,27.8,7,194.61,0,0,0,none
2023-01-02,S04,P11,35.7,23,821.15,0,0,0,none
2023-01-02,S04,P12,38.45,12,461.39,0,0,0,none
2023-01-02,S05,P01,11.08,15,166.18,0,0,0,none
2023-01-02,S05,P02,21.2,20,423.94,0,0,0,none
2023-01-02,S05,P03,21.77,17,370.01,0,0,0,none
2023-01-02,S05,P04,14.96,22,329.05,0,0,0,none
2023-01-02,S05,P05,25.4,0,0.0,0,1,0,none
2023-01-02,S05,P06,21.15,26,549.93,0,0,0,none
2023-01-02,S05,P07,22.92,24,550.19,0,0,0,none
2023-01-02,S05,P08,17.35,23,398.96,0,0,0,none
2023-01-02,S05,P09,30.73,22,676.13,0,0,0,none
2023-01-02,S05,P10,20.2,10,202.03,0,0,0,none
2023-01-02,S05,P11,32.49,12,389.83,0,0,0,none
2023-01-02,S05,P12,14.1,17,239.75,0,0,0,none
2023-01-02,S06,P01,31.89,24,765.37,0,0,0,none
2023-01-02,S06,P02,14.12,32,451.81,0,0,0,none
2023-01-02,S06,P03,17.63,20,352.64,0,0,0,none
2023-01-02,S06,P04,17.6,25,440.09,0,0,0,none
2023-01-02,S06,P05,24.97,12,299.61,0,0,0,none
2023-01-02,S06,P06,25.52,25,638.07,0,0,0,none
2023-01-02,S06,P07,24.74,14,346.32,0,0,0,none
2023-01-02,S06,P08,26.64,20,532.87,0,0,0,none
2023-01-02,S06,P09,16.02,30,480.48,0,0,0,none
2023-01-02,S06,P10,33.64,13,437.27,0,0,0,none
2023-01-02,S06,P11,5.7,26,148.28,0,0,0,none
2023-01-02,S06,P12,28.94,23,665.52,0,0,0,none
2023-01-02,S07,P01,8.2,26,213.14,0,0,0,none
2023-01-02,S07,P02,24.05,21,505.03,0,0,0,none
2023-01-02,S07,P03,10.88,13,141.41,0,0,0,none
2023-01-02,S07,P04,24.18,20,483.5,0,0,0,none
2023-01-02,S07,P05,19.88,7,139.17,0,0,0,none
2023-01-02,S07,P06,27.51,31,852.86,0,0,0,none
2023-01-02,S07,P07,15.94,18,286.95,0,0,0,none
2023-01-02,S07,P08,34.65,20,692.98,0,0,0,none
2023-01-02,S07,P09,20.81,25,520.17,0,0,0,none
2023-01-02,S07,P10,13.57,9,122.13,0,0,0,none
2023-01-02,S07,P11,16.52,11,181.77,0,0,0,none
2023-01-02,S07,P12,24.87,18,447.62,0,0,0,none
2023-01-02,S08,P01,24.87,18,447.68,0,0,0,none
2023-01-02,S08,P02,20.69,20,413.86,0,0,0,none
2023-01-02,S08,P03,18.69,8,149.52,0,0,0,none
2023-01-02,S08,P04,30.66,19,582.62,0,0,0,none
2023-01-02,S08,P05,18.55,9,166.94,0,0,0,none
2023-01-02,S08,P06,19.43,22,427.56,0,0,0,none
2023-01-02,S08,P07,16.4,12,196.85,0,0,0,none
2023-01-02,S08,P08,19.02,22,418.52,0,0,0,none
2023-01-02,S08,P09,17.0,17,288.93,0,0,0,none
2023-01-02,S08,P10,28.46,5,142.31,0,0,0,none
2023-01-02,S08,P11,20.2,8,161.56,0,0,0,none
2023-01-02,S08,P12,19.17,4,76.7,0,0,0,none
2023-01-03,S01,P01,23.92,16,382.65,0,0,0,none
2023-01-03,S01,P02,12.87,21,270.34,0,0,0,none
2023-01-03,S01,P03,34.65,11,381.17,0,0,0,none
2023-01-03,S01,P04,29.12,20,582.3,0,0,0,none
2023-01-03,S01,P05,14.22,15,213.32,0,0,0,none
2023-01-03,S01,P06,38.65,23,889.04,0,0,0,none
2023-01-03,S01,P07,21.69,18,390.47,0,0,0,none
2023-01-03,S01,P08,40.96,14,573.38,0,0,0,none
2023-01-03,S01,P09,16.72,17,284.25,0,0,0,none
2023-01-03,S01,P10,29.67,8,237.34,0,0,0,none
2023-01-03,S01,P11,41.18,10,411.8,0,0,0,none
2023-01-03,S01,P12,29.46,20,589.25,0,0,0,none
2023-01-03,S02,P01,18.98,31,588.23,0,0,0,none
2023-01-03,S02,P02,20.18,37,746.63,0,0,0,none
2023-01-03,S02,P03,16.86,13,219.18,0,0,0,none
2023-01-03,S02,P04,27.91,16,446.59,0,0,0,none
2023-01-03,S02,P05,19.32,12,231.89,0,0,0,none
2023-01-03,S02,P06,17.44,28,488.21,0,0,0,none
2023-01-03,S02,P07,35.01,17,595.19,0,0,0,none
2023-01-03,S02,P08,39.8,18,716.33,0,0,0,none
2023-01-03,S02,P09,32.41,21,680.67,0,0,0,none
2023-01-03,S02,P10,26.01,15,390.14,0,0,0,none
2023-01-03,S02,P11,33.39,23,767.96,0,0,0,none
2023-01-03,S02,P12,29.89,13,388.61,0,0,0,none
2023-01-03,S03,P01,3.8,22,83.68,0,0,0,none
2023-01-03,S03,P02,29.06,26,755.54,0,0,0,none
2023-01-03,S03,P03,4.48,18,80.57,0,0,0,none
2023-01-03,S03,P04,22.8,13,296.45,0,0,0,none
2023-01-03,S03,P05,17.44,11,191.87,0,0,0,none
2023-01-03,S03,P06,18.51,30,555.4,0,0,0,none
2023-01-03,S03,P07,28.72,24,689.23,0,0,0,none
2023-01-03,S03,P08,29.9,29,867.1,0,0,0,none
2023-01-03,S03,P09,19.52,12,234.21,0,0,0,none
2023-01-03,S03,P10,24.21,9,217.9,0,0,0,none
2023-01-03,S03,P11,33.4,18,601.26,0,0,0,none
2023-01-03,S03,P12,40.34,17,685.72,0,0,0,none
2023-01-03,S04,P01,32.17,25,804.25,0,0,0,none
2023-01-03,S04,P02,13.56,21,284.8,0,0,0,none
2023-01-03,S04,P03,15.45,6,92.69,0,0,0,none
2023-01-03,S04,P04,23.49,20,469.78,0,0,0,none
2023-01-03,S04,P05,30.76,16,492.18,0,0,0,none
2023-01-03,S04,P06,18.75,26,487.38,0,0,0,none
2023-01-03,S04,P07,8.44,25,210.94,0,0,0,none
2023-01-03,S04,P08,42.98,20,859.61,0,0,0,none
2023-01-03,S04,P09,22.62,30,678.64,0,0,0,none
2023-01-03,S04,P10,28.62,10,286.22,0,0,0,none
2023-01-03,S04,P11,37.76,8,302.09,0,0,0,none
2023-01-03,S04,P12,19.12,23,439.84,0,0,0,none
2023-01-03,S05,P01,19.99,18,359.76,0,0,0,none
2023-01-03,S05,P02,27.67,13,359.68,0,0,0,none
2023-01-03,S05,P03,17.07,5,85.35,0,0,0,none
2023-01-03,S05,P04,16.09,16,257.4,0,0,0,none
2023-01-03,S05,P05,13.98,10,139.77,0,0,0,none
2023-01-03,S05,P06,36.47,28,1021.22,0,0,0,none
2023-01-03,S05,P07,12.32,10,123.24,0,0,0,none
2023-01-03,S05,P08,16.93,24,406.22,0,0,0,none
2023-01-03,S05,P09,20.55,20,411.07,0,0,0,none
2023-01-03,S05,P10,34.23,10,342.25,0,0,0,none
2023-01-03,S05,P11,23.23,11,255.52,0,0,0,none
2023-01-03,S05,P12,31.52,11,346.76,0,0,0,none
2023-01-03,S06,P01,28.04,21,588.77,0,0,0,none
2023-01-03,S06,P02,29.9,21,627.88,0,0,0,none
2023-01-03,S06,P03,3.0,17,51.0,0,0,0,none
2023-01-03,S06,P04,22.67,24,544.06,0,0,0,none
2023-01-03,S06,P05,16.52,10,165.15,0,0,0,none
2023-01-03,S06,P06,25.1,28,702.87,0,0,0,none
2023-01-03,S06,P07,21.36,32,683.68,0,0,0,none
2023-01-03,S06,P08,27.13,35,949.66,0,0,0,none
2023-01-03,S06,P09,17.65,25,441.33,0,0,0,none
2023-01-03,S06,P10,23.49,11,258.36,0,0,0,none
2023-01-03,S06,P11,18.34,11,201.74,0,0,0,none
2023-01-03,S06,P12,31.12,25,778.0,0,0,0,none
2023-01-03,S07,P01,15.74,17,267.6,0,0,0,none
2023-01-03,S07,P02,7.91,24,189.95,0,0,0,none
2023-01-03,S07,P03,27.82,20,556.46,0,0,0,none
2023-01-03,S07,P04,20.71,18,372.72,0,0,0,none
2023-01-03,S07,P05,21.42,12,257.06,0,0,0,none
2023-01-03,S07,P06,28.27,33,932.8,0,0,0,none
2023-01-03,S07,P07,13.42,15,201.28,0,0,0,none
2023-01-03,S07,P08,24.43,31,757.26,0,0,0,none
2023-01-03,S07,P09,36.52,21,766.88,0,0,0,none
2023-01-03,S07,P10,28.71,10,287.1,0,0,0,none
2023-01-03,S07,P11,35.69,17,606.77,0,0,0,none
2023-01-03,S07,P12,24.04,19,456.76,0,0,0,none
2023-01-03,S08,P01,20.09,11,220.94,0,0,0,none
2023-01-03,S08,P02,13.01,20,260.11,0,0,0,none
2023-01-03,S08,P03,21.05,14,294.75,0,0,0,none
2023-01-03,S08,P04,18.44,15,276.58,0,0,0,none
2023-01-03,S08,P05,19.36,5,96.8,0,0,0,none
2023-01-03,S08,P06,17.94,18,322.94,0,0,0,none
2023-01-03,S08,P07,16.73,21,351.35,0,0,0,none
2023-01-03,S08,P08,24.29,18,437.28,0,0,0,none
2023-01-03,S08,P09,21.11,20,422.14,0,0,0,none
2023-01-03,S08,P10,17.56,11,193.14,0,0,0,none
2023-01-03,S08,P11,13.69,7,95.82,0,0,0,none
2023-01-03,S08,P12,16.83,14,235.65,0,0,0,none
2023-01-04,S01,P01,14.76,16,236.15,0,0,0,none
2023-01-04,S01,P02,19.65,25,491.25,0,0,0,none
2023-01-04,S01,P03,28.0,17,475.99,0,0,0,none
2023-01-04,S01,P04,25.74,16,411.83,0,0,0,none
2023-01-04,S01,P05,14.67,13,190.67,0,0,0,none
2023-01-04,S01,P06,21.02,26,546.54,0,0,0,none
2023-01-04,S01,P07,13.3,1,13.3,0,0,0,dip
2023-01-04,S01,P08,18.91,12,226.93,0,0,0,none
2023-01-04,S01,P09,21.2,13,275.62,0,0,0,none
2023-01-04,S01,P10,46.81,12,561.69,0,0,0,none
2023-01-04,S01,P11,29.71,11,326.78,0,0,0,none
2023-01-04,S01,P12,27.65,13,359.51,0,0,0,none
2023-01-04,S02,P01,28.03,4,112.12,0,1,0,none
2023-01-04,S02,P02,19.23,27,519.32,0,0,0,none
2023-01-04,S02,P03,29.19,12,350.29,0,0,0,none
2023-01-04,S02,P04,23.26,21,488.37,0,0,0,none
2023-01-04,S02,P05,29.26,13,380.35,0,0,0,none
2023-01-04,S02,P06,29.27,34,995.13,0,0,0,none
2023-01-04,S02,P07,13.44,16,214.97,0,0,0,none
2023-01-04,S02,P08,14.96,29,433.89,0,0,0,none
2023-01-04,S02,P09,32.82,24,787.57,0,0,0,none
2023-01-04,S02,P10,19.89,15,298.36,0,0,0,none
2023-01-04,S02,P11,27.5,19,522.54,0,0,0,none
2023-01-04,S02,P12,26.66,15,399.96,0,0,0,none
2023-01-04,S03,P01,16.95,15,254.18,0,0,0,none
2023-01-04,S03,P02,23.99,17,407.75,0,0,0,none
2023-01-04,S03,P03,20.06,12,240.7,0,0,0,none
2023-01-04,S03,P04,18.05,16,288.88,0,0,0,none
2023-01-04,S03,P05,18.92,16,302.79,0,0,0,none
2023-01-04,S03,P06,27.46,19,521.76,0,0,0,none
2023-01-04,S03,P07,11.96,27,322.94,0,0,0,none
2023-01-04,S03,P08,26.15,22,575.2,0,0,0,none
2023-01-04,S03,P09,20.29,20,405.81,0,0,0,none
2023-01-04,S03,P10,30.63,9,275.71,0,0,0,none
2023-01-04,S03,P11,35.49,20,709.79,0,0,0,none
2023-01-04,S03,P12,21.5,18,387.01,0,0,0,none
2023-01-04,S04,P01,23.34,18,420.18,0,0,0,none
2023-01-04,S04,P02,22.32,29,647.39,0,0,0,none
2023-01-04,S04,P03,33.36,17,567.17,0,0,0,none
2023-01-04,S04,P04,26.9,26,699.44,0,0,0,none
2023-01-04,S04,P05,13.9,14,194.59,0,0,0,none
2023-01-04,S04,P06,13.32,22,293.15,0,0,0,none
2023-01-04,S04,P07,4.6,26,119.72,0,0,0,none
2023-01-04,S04,P08,22.44,25,560.9,0,0,0,none
2023-01-04,S04,P09,36.69,18,660.47,0,0,0,none
2023-01-04,S04,P10,23.04,8,184.28,0,0,0,none
2023-01-04,S04,P11,24.83,19,471.81,0,0,0,none
2023-01-04,S04,P12,15.42,17,262.09,0,0,0,none
2023-01-04,S05,P01,19.11,11,210.22,0,0,0,none
2023-01-04,S05,P02,21.8,18,392.35,0,0,0,none
2023-01-04,S05,P03,18.34,9,165.04,0,0,0,none
2023-01-04,S05,P04,24.17,16,386.68,0,0,0,none
2023-01-04,S05,P05,24.52,12,294.29,0,0,0,none
2023-01-04,S05,P06,18.67,22,410.8,0,0,0,none
2023-01-04,S05,P07,24.99,20,499.75,0,0,0,none
2023-01-04,S05,P08,20.53,18,369.52,0,0,0,none
2023-01-04,S05,P09,26.64,18,479.45,0,0,0,none
2023-01-04,S05,P10,25.45,12,305.45,0,0,0,none
2023-01-04,S05,P11,22.16,15,332.46,0,0,0,none
2023-01-04,S05,P12,20.59,13,267.68,0,0,0,none
2023-01-04,S06,P01,22.64,17,384.85,0,0,0,none
2023-01-04,S06,P02,28.83,37,1066.67,0,0,0,none
2023-01-04,S06,P03,36.42,16,582.73,0,0,0,none
2023-01-04,S06,P04,28.68,24,688.27,0,0,0,none
2023-01-04,S06,P05,13.01,8,104.08,0,0,0,none
2023-01-04,S06,P06,34.47,28,965.2,0,0,0,none
2023-01-04,S06,P07,22.0,16,351.92,0,0,0,none
2023-01-04,S06,P08,19.04,25,476.08,0,0,0,none
2023-01-04,S06,P09,19.21,26,499.41,0,0,0,none
2023-01-04,S06,P10,29.65,13,385.46,0,0,0,none
2023-01-04,S06,P11,29.27,19,556.14,0,0,0,none
2023-01-04,S06,P12,18.21,18,327.74,0,0,0,none
2023-01-04,S07,P01,13.55,20,271.03,0,0,0,none
2023-01-04,S07,P02,31.66,27,854.85,0,0,0,none
2023-01-04,S07,P03,30.1,19,571.92,0,0,0,none
2023-01-04,S07,P04,10.59,15,158.82,0,0,0,none
2023-01-04,S07,P05,22.67,14,317.33,0,0,0,none
2023-01-04,S07,P06,19.54,21,410.32,0,0,0,none
2023-01-04,S07,P07,34.36,19,652.87,0,0,0,none
2023-01-04,S07,P08,37.55,33,1239.23,0,0,0,none
2023-01-04,S07,P09,13.16,0,0.0,0,1,0,none
2023-01-04,S07,P10,25.73,9,231.53,0,0,0,none
2023-01-04,S07,P11,16.36,13,212.62,0,0,0,none
2023-01-04,S07,P12,18.59,15,278.92,0,0,0,none
2023-01-04,S08,P01,21.94,23,504.53,0,0,0,none
2023-01-04,S08,P02,25.91,16,414.54,0,0,0,none
2023-01-04,S08,P03,18.23,12,218.74,0,0,0,none
2023-01-04,S08,P04,34.61,19,657.59,0,0,0,none
2023-01-04,S08,P05,35.1,11,386.14,0,0,0,none
2023-01-04,S08,P06,20.13,20,402.7,0,0,0,none
2023-01-04,S08,P07,20.5,9,184.53,0,0,0,none
2023-01-04,S08,P08,30.61,20,612.14,0,0,0,none
2023-01-04,S08,P09,25.61,16,409.76,0,0,0,none
2023-01-04,S08,P10,30.18,11,331.99,0,0,0,none
2023-01-04,S08,P11,27.09,11,297.96,0,0,0,none
2023-01-04,S08,P12,17.7,11,194.67,0,0,0,none
2023-01-05,S01,P01,3.0,21,63.0,0,0,0,none
2023-01-05,S01,P02,23.8,25,594.91,0,0,0,none
2023-01-05,S01,P03,22.74,9,204.67,0,0,0,none
2023-01-05,S01,P04,19.9,14,278.63,0,0,0,none
2023-01-05,S01,P05,25.81,4,103.24,0,0,0,none
2023-01-05,S01,P06,22.52,23,517.93,0,0,0,none
2023-01-05,S01,P07,33.55,22,738.16,0,0,0,none
2023-01-05,S01,P08,21.0,24,503.95,0,0,0,none
2023-01-05,S01,P09,22.66,23,521.13,0,0,0,none
2023-01-05,S01,P10,13.79,8,110.31,0,0,0,none
2023-01-05,S01,P11,31.6,14,442.41,0,0,0,none
2023-01-05,S01,P12,21.5,13,279.55,0,0,0,none
2023-01-05,S02,P01,3.0,17,51.0,0,0,0,none
2023-01-05,S02,P02,16.48,26,428.49,0,0,0,none
2023-01-05,S02,P03,13.38,20,267.5,0,0,0,none
2023-01-05,S02,P04,19.46,18,350.36,0,0,0,none
2023-01-05,S02,P05,22.72,11,249.95,0,0,0,none
2023-01-05,S02,P06,14.73,21,309.34,0,0,0,none
2023-01-05,S02,P07,21.41,30,642.22,0,0,0,none
2023-01-05,S02,P08,37.18,17,632.01,0,0,0,none
2023-01-05,S02,P09,7.98,25,199.62,0,0,0,none
2023-01-05,S02,P10,25.72,9,231.48,0,0,0,none
2023-01-05,S02,P11,44.93,19,853.7,0,0,0,none
2023-01-05,S02,P12,8.69,24,208.54,0,0,0,none
2023-01-05,S03,P01,3.0,13,39.0,0,0,0,none
2023-01-05,S03,P02,26.35,23,605.98,0,0,0,none
2023-01-05,S03,P03,19.21,15,288.1,0,0,0,none
2023-01-05,S03,P04,13.57,17,230.62,0,0,0,none
2023-01-05,S03,P05,22.49,7,157.42,0,0,0,none
2023-01-05,S03,P06,21.78,34,740.52,0,0,0,none
2023-01-05,S03,P07,14.86,14,208.06,0,0,0,none
2023-01-05,S03,P08,24.26,21,509.41,0,0,0,none
2023-01-05,S03,P09,19.94,28,558.34,0,0,0,none
2023-01-05,S03,P10,10.9,16,174.43,0,0,0,none
2023-01-05,S03,P11,18.89,17,321.12,0,0,0,none
2023-01-05,S03,P12,22.88,14,320.26,0,0,0,none
2023-01-05,S04,P01,16.97,25,424.17,0,0,0,none
2023-01-05,S04,P02,26.12,20,522.38,0,0,0,none
2023-01-05,S04,P03,3.0,16,48.0,0,0,0,none
2023-01-05,S04,P04,31.52,19,598.89,0,0,0,none
2023-01-05,S04,P05,25.29,9,227.6,0,0,0,none
2023-01-05,S04,P06,28.37,33,936.09,0,0,0,none
2023-01-05,S04,P07,32.88,15,493.17,0,0,0,none
2023-01-05,S04,P08,28.56,22,628.37,0,0,0,none
2023-01-05,S04,P09,25.04,21,525.89,0,0,0,none
2023-01-05,S04,P10,26.56,8,212.52,0,0,0,none
2023-01-05,S04,P11,4.95,10,49.48,0,0,0,none
2023-01-05,S04,P12,32.89,10,328.94,0,0,0,none
2023-01-05,S05,P01,33.5,19,636.58,0,0,0,none
2023-01-05,S05,P02,23.58,18,424.41,0,0,0,none
2023-01-05,S05,P03,14.76,18,265.76,0,0,0,none
2023-01-05,S05,P04,8.74,22,192.2,0,0,0,none
2023-01-05,S05,P05,25.73,8,205.8,0,0,0,none
2023-01-05,S05,P06,23.64,27,638.35,0,0,0,none
2023-01-05,S05,P07,30.14,13,391.87,0,0,0,none
2023-01-05,S05,P08,29.89,27,806.98,0,0,0,none
2023-01-05,S05,P09,38.69,15,580.29,0,0,0,none
2023-01-05,S05,P10,20.72,11,227.89,0,0,0,none
2023-01-05,S05,P11,18.58,21,390.23,0,0,0,none
2023-01-05,S05,P12,28.72,19,545.74,0,0,0,none
2023-01-05,S06,P01,30.25,39,1179.71,0,0,0,none
2023-01-05,S06,P02,27.41,35,959.2,0,0,0,none
2023-01-05,S06,P03,21.99,17,373.89,0,0,0,none
2023-01-05,S06,P04,16.64,26,432.72,0,0,0,none
