transaction_id,timestamp,hour,user_id,merchant_id,channel,country,device,amount,is_fraud
30,2025-02-18 05:00:00,5,1090,3443,mobile_wallet,AU,web,32.21,0
31,2025-02-19 19:00:00,19,24320,2043,mobile_wallet,GB,web,56.91,0
32,2025-04-11 18:00:00,18,14180,3740,ecom,IN,android,25.75,0
33,2025-01-24 07:00:00,7,10323,2328,ecom,IN,web,61.98,0
34,2025-01-22 18:00:00,18,21888,180,ecom,AU,web,37.9,0
35,2025-04-27 04:00:00,4,19391,327,card_present,US,android,16.93,0
36,2025-04-06 19:00:00,19,22767,3796,mobile_wallet,GB,web,102.34,0
37,2025-04-07 09:00:00,9,2978,87,card_present,DE,ios,15.33,0
38,2025-03-20 15:00:00,15,15494,2450,ecom,US,android,15.61,0
39,2025-04-20 20:00:00,20,12295,113,card_present,IN,android,15.32,0
40,2025-03-03 20:00:00,20,3253,267,ecom,AU,ios,54.31,0
41,2025-03-06 14:00:00,14,17814,2384,mobile_wallet,US,ios,25.13,0
42,2025-01-02 04:00:00,4,9194,80,ecom,US,android,57.95,0
43,2025-01-07 00:00:00,4,10923,3649,ecom,US,android,41.5,1
44,2025-01-29 07:00:00,7,6068,1992,ecom,US,web,18.86,0
45,2025-02-09 21:00:00,21,17873,1641,ecom,US,android,33.64,0
46,2025-02-01 03:00:00,3,2517,693,card_present,US,android,16.86,0
47,2025-01-07 21:00:00,21,23707,2840,ecom,CA,web,27.62,0
48,2025-02-03 08:00:00,8,1242,1009,mobile_wallet,CA,android,43.49,0
49,2025-01-23 18:00:00,18,3515,1770,card_present,US,web,26.39,0
50,2025-01-30 22:00:00,22,21912,2944,ecom,US,web,87.89,0
51,2025-04-02 15:00:00,15,9207,3670,ecom,GB,android,13.9,0
52,2025-04-08 13:00:00,13,15966,1766,card_present,AU,android,21.15,0
53,2025-03-08 22:00:00,22,16644,3564,card_present,US,android,21.92,0
54,2025-01-21 04:00:00,4,15638,376,card_present,US,web,39.17,0
55,2025-01-13 16:00:00,16,15571,3239,card_present,US,android,14.68,0
56,2025-02-02 09:00:00,9,4178,3531,card_present,AU,ios,7.03,0
57,2025-03-18 02:00:00,2,12885,2652,card_present,US,android,20.97,0
58,2025-04-02 05:00:00,5,2115,3303,card_present,IN,ios,28.77,0
59,2025-01-11 01:00:00,1,22578,447,card_present,AU,android,18.82,0
60,2025-01-08 18:00:00,18,8344,1687,ecom,US,android,5.4,0
61,2025-01-18 11:00:00,11,24195,3100,card_present,IN,android,13.0,0
62,2025-04-04 00:00:00,0,13887,3019,card_present,US,web,47.81,0
63,2025-04-16 03:00:00,3,19586,3496,card_present,US,web,18.05,0
64,2025-03-02 04:00:00,4,3629,2746,card_present,GB,web,65.4,0
65,2025-03-18 03:00:00,3,6046,1008,ecom,AU,android,14.59,0
66,2025-04-16 17:00:00,17,24367,501,card_present,AU,web,23.81,0
67,2025-04-28 02:00:00,2,8196,1739,card_present,US,web,14.68,0
68,2025-01-23 19:00:00,19,13768,1957,card_present,DE,android,76.39,0
69,2025-02-15 19:00:00,19,7130,2415,ecom,US,android,42.22,0
70,2025-01-13 00:00:00,0,9978,3559,card_present,US,ios,12.34,0
71,2025-01-19 04:00:00,4,10889,1974,card_present,US,android,27.51,0
72,2025-04-01 14:00:00,14,12500,3688,ecom,GB,web,9.17,0
73,2025-03-22 12:00:00,12,24623,3926,ecom,US,ios,23.69,0
74,2025-02-13 19:00:00,19,5007,276,card_present,AU,ios,21.71,0
75,2025-04-27 02:00:00,2,23553,35,mobile_wallet,CA,web,9.46,0
76,2025-02-13 07:00:00,7,13841,3623,mobile_wallet,US,ios,40.53,0
77,2025-02-25 22:00:00,22,11622,1130,card_present,US,android,19.6,0
78,2025-04-14 02:00:00,2,20306,1562,ecom,DE,ios,60.62,0
79,2025-01-17 02:00:00,2,10798,2998,mobile_wallet,US,ios,22.99,0
80,2025-01-08 07:00:00,7,22514,941,ecom,DE,web,32.68,0
81,2025-01-19 13:00:00,13,12089,423,card_present,GB,android,14.17,0
82,2025-04-24 15:00:00,15,17227,221,card_present,US,android,23.33,0
83,2025-03-05 22:00:00,22,12189,1775,mobile_wallet,US,android,47.31,0
84,2025-01-23 19:00:00,19,15107,2637,ecom,US,web,55.89,0
85,2025-04-01 01:00:00,1,12263,824,card_present,GB,android,61.35,0
86,2025-01-14 07:00:00,7,4242,1860,card_present,US,web,22.04,0
87,2025-03-17 07:00:00,7,19841,997,mobile_wallet,US,web,33.39,0
88,2025-01-18 09:00:00,9,15245,1346,card_present,US,web,20.68,0
89,2025-02-21 05:00:00,5,8984,2108,ecom,US,ios,26.32,0
90,2025-02-03 23:00:00,23,22853,3459,ecom,US,android,40.11,0
91,2025-02-02 21:00:00,21,18956,3540,card_present,IN,android,23.3,0
92,2025-01-19 01:00:00,1,12171,289,card_present,US,android,17.27,0
93,2025-03-01 19:00:00,19,10592,1094,ecom,GB,web,56.08,0
94,2025-02-12 15:00:00,15,8903,2026,card_present,GB,web,11.84,0
95,2025-01-20 09:00:00,9,5927,1921,card_present,US,ios,22.64,0
96,2025-03-06 14:00:00,14,4530,2459,ecom,US,android,13.31,0
97,2025-04-06 06:00:00,6,8285,3567,mobile_wallet,US,ios,19.56,0
98,2025-02-18 22:00:00,22,8020,36,card_present,US,web,20.85,0
99,2025-01-04 17:00:00,17,10306,610,ecom,US,android,23.85,0
100,2025-02-25 10:00:00,10,13709,2358,ecom,US,android,45.07,0
101,2025-02-24 03:00:00,3,12765,3357,card_present,DE,android,13.98,0
102,2025-04-11 14:00:00,14,3772,859,card_present,AU,web,35.74,0
103,2025-04-03 15:00:00,15,12446,2654,card_present,US,android,80.38,0
104,2025-04-03 03:00:00,3,7883,611,card_present,IN,android,37.0,0
105,2025-01-17 16:00:00,16,6102,1650,ecom,DE,web,10.22,0
106,2025-01-08 12:00:00,12,9742,1488,card_present,IN,ios,15.56,0
107,2025-03-27 12:00:00,12,24193,3191,card_present,US,android,19.51,0
108,2025-03-01 20:00:00,20,2088,3227,card_present,US,android,35.47,0
109,2025-01-22 16:00:00,16,23601,3112,card_present,US,web,33.64,0
110,2025-03-08 19:00:00,19,14163,554,mobile_wallet,US,web,30.37,0
111,2025-03-05 16:00:00,16,18924,1691,card_present,DE,web,16.57,0
112,2025-01-15 19:00:00,19,3545,2231,card_present,US,web,86.02,0
113,2025-04-11 14:00:00,14,2302,531,ecom,US,ios,26.35,0
114,2025-04-11 21:00:00,21,11811,2080,card_present,US,android,48.29,0
115,2025-03-23 00:00:00,0,4869,3634,ecom,US,web,26.27,0
116,2025-04-10 00:00:00,0,22948,3210,ecom,DE,android,15.77,0
117,2025-02-27 18:00:00,18,13474,2184,ecom,US,ios,26.19,0
118,2025-02-19 11:00:00,11,2770,1629,card_present,US,ios,26.26,0
119,2025-03-23 10:00:00,10,5187,3654,ecom,GB,android,27.82,0
120,2025-03-26 15:00:00,0,538,3701,ecom,US,ios,42.92,1
121,2025-02-12 09:00:00,9,17737,3642,ecom,GB,web,43.95,0
122,2025-04-23 11:00:00,11,23518,536,card_present,IN,android,10.5,0
123,2025-01-31 00:00:00,0,14060,3914,card_present,US,android,7.19,0
124,2025-04-17 08:00:00,8,24192,2946,card_present,US,ios,21.15,0
125,2025-01-03 02:00:00,2,18423,3953,ecom,AU,ios,8.59,0
126,2025-03-19 22:00:00,22,15015,3714,card_present,US,android,16.7,0
127,2025-04-06 11:00:00,11,22353,1542,mobile_wallet,US,android,57.4,0
128,2025-04-29 17:00:00,17,16644,3332,ecom,CA,android,39.55,0
129,2025-03-15 23:00:00,23,11580,2229,card_present,US,android,13.32,0
130,2025-01-18 17:00:00,17,9647,2442,card_present,US,web,19.12,0
131,2025-03-22 16:00:00,16,5199,3319,mobile_wallet,GB,web,17.22,0
132,2025-01-03 06:00:00,6,14540,1965,card_present,DE,ios,32.62,0
133,2025-01-28 19:00:00,19,24715,2418,ecom,US,ios,46.24,0
134,2025-01-28 22:00:00,22,16073,2352,card_present,US,android,47.02,0
135,2025-03-31 08:00:00,8,20005,381,ecom,US,ios,4.9,0
136,2025-03-04 04:00:00,4,22947,2674,card_present,AU,android,12.33,0
137,2025-03-03 14:00:00,14,17794,902,card_present,US,android,27.35,0
138,2025-03-24 00:00:00,0,4769,2614,ecom,CA,web,23.63,0
139,2025-04-13 02:00:00,2,1430,3561,ecom,US,android,29.02,0
140,2025-03-01 18:00:00,18,21657,2978,card_present,US,android,18.3,0
141,2025-02-13 21:00:00,21,5625,3833,card_present,US,android,5.09,0
142,2025-04-13 20:00:00,20,8154,524,ecom,US,web,21.9,0
143,2025-02-16 03:00:00,3,13803,1124,ecom,US,web,69.87,0
144,2025-02-09 03:00:00,3,11334,591,ecom,CA,android,50.51,0
145,2025-02-14 04:00:00,4,4711,1165,card_present,US,android,36.29,0
146,2025-03-28 04:00:00,4,12350,3590,ecom,CA,android,25.54,0
147,2025-03-19 05:00:00,5,16282,3551,card_present,DE,web,13.96,0
148,2025-01-05 23:00:00,23,1403,3765,card_present,US,ios,42.98,0
149,2025-03-06 17:00:00,17,8463,1443,mobile_wallet,GB,ios,26.85,0
150,2025-03-19 17:00:00,17,4391,3325,card_present,US,web,24.21,0
151,2025-01-23 21:00:00,21,14748,2221,card_present,US,web,27.74,0
152,2025-03-24 15:00:00,15,11026,3880,ecom,AU,ios,39.62,0
153,2025-02-27 09:00:00,9,7419,3033,ecom,US,web,12.75,0
154,2025-01-11 23:00:00,23,12610,88,card_present,US,ios,41.78,0
155,2025-01-21 20:00:00,20,22020,78,card_present,US,web,19.77,0
156,2025-04-10 07:00:00,7,7847,2899,card_present,US,web,50.64,0
157,2025-04-13 06:00:00,6,23817,1068,card_present,US,web,19.16,0
158,2025-03-03 05:00:00,5,20685,2041,ecom,US,web,54.64,0
159,2025-04-11 06:00:00,6,1333,679,ecom,US,android,21.39,0
160,2025-02-18 10:00:00,10,6240,511,ecom,CA,web,10.63,0
161,2025-03-20 06:00:00,6,22056,3390,ecom,US,android,17.81,0
162,2025-02-06 01:00:00,1,5466,1419,card_present,GB,android,42.52,0
163,2025-03-12 22:00:00,22,6048,580,card_present,IN,ios,42.62,0
164,2025-03-11 14:00:00,14,8588,1677,ecom,IN,android,18.37,0
165,2025-01-29 16:00:00,16,24629,3957,card_present,DE,android,48.86,0
166,2025-04-08 02:00:00,2,23325,3975,ecom,US,android,10.9,0
167,2025-03-12 11:00:00,11,6725,1018,ecom,US,ios,14.01,0
168,2025-02-17 15:00:00,15,19559,2525,card_present,IN,web,12.59,0
169,2025-03-03 22:00:00,22,14300,14,card_present,GB,ios,31.93,0
170,2025-04-07 09:00:00,9,959,1578,card_present,US,ios,23.75,0
171,2025-04-20 05:00:00,5,145,2792,ecom,US,android,62.91,0
172,2025-03-04 19:00:00,19,20092,1302,card_present,CA,android,35.98,0
173,2025-04-12 17:00:00,17,10422,545,mobile_wallet,CA,web,61.73,0
174,2025-02-17 13:00:00,13,21043,478,card_present,US,web,27.97,0
175,2025-01-06 03:00:00,3,9108,1256,card_present,IN,web,9.76,0
176,2025-03-10 05:00:00,5,1854,2783,card_present,US,web,59.34,0
177,2025-04-24 20:00:00,20,680,549,card_present,IN,web,38.31,0
178,2025-04-18 21:00:00,21,21841,2288,ecom,US,android,19.53,0
179,2025-04-26 23:00:00,23,7665,3695,ecom,US,web,29.1,0
180,2025-01-18 18:00:00,18,22714,495,ecom,AU,android,37.36,0
181,2025-01-27 20:00:00,20,1434,3394,card_present,US,android,11.34,0
182,2025-03-13 02:00:00,2,20783,2559,card_present,US,android,28.73,0
183,2025-01-23 10:00:00,10,6665,1160,ecom,DE,android,34.88,0
184,2025-04-22 10:00:00,10,20744,3222,ecom,IN,web,6.51,0
185,2025-04-17 21:00:00,21,14642,1666,card_present,IN,android,27.9,0
186,2025-03-22 02:00:00,2,14674,1523,ecom,GB,android,26.14,0
187,2025-04-06 04:00:00,4,8040,925,ecom,AU,ios,45.23,0
188,2025-03-10 10:00:00,10,21418,2060,mobile_wallet,US,android,18.7,0
189,2025-02-08 08:00:00,8,4601,1608,ecom,US,android,21.95,0
190,2025-01-21 14:00:00,14,6882,1491,mobile_wallet,US,web,28.28,0
191,2025-02-26 23:00:00,23,9242,2525,card_present,AU,android,10.31,0
192,2025-03-13 19:00:00,19,14295,1613,card_present,DE,android,14.88,0
193,2025-03-14 08:00:00,8,8748,2962,card_present,IN,android,47.99,0
194,2025-01-23 04:00:00,4,2666,1906,card_present,US,ios,25.28,0
195,2025-02-18 17:00:00,17,3272,3621,card_present,US,android,12.05,0
196,2025-01-08 04:00:00,4,5839,210,ecom,IN,android,52.44,0
197,2025-04-19 19:00:00,19,23487,3816,mobile_wallet,US,ios,12.85,0
198,2025-04-10 17:00:00,17,3746,1052,card_present,US,ios,14.87,0
199,2025-03-15 22:00:00,22,10485,2119,card_present,US,android,20.48,0
200,2025-02-25 01:00:00,1,4930,229,card_present,IN,ios,25.14,0
201,2025-02-11 12:00:00,12,14121,1799,ecom,US,web,15.37,0
202,2025-02-18 23:00:00,23,19770,97,card_present,DE,android,28.81,0
203,2025-04-17 06:00:00,6,20415,2524,mobile_wallet,CA,android,24.38,0
204,2025-03-29 12:00:00,12,4297,1989,card_present,US,ios,25.31,0
205,2025-04-12 17:00:00,17,24712,32,card_present,CA,web,21.9,0
206,2025-03-02 14:00:00,14,22150,2672,ecom,US,web,35.1,0
207,2025-04-04 11:00:00,11,14303,153,ecom,US,web,20.85,0
208,2025-04-17 16:00:00,16,8171,1027,ecom,CA,web,105.32,0
209,2025-02-27 11:00:00,11,7361,811,card_present,DE,android,19.85,0
210,2025-03-22 05:00:00,5,24222,2313,card_present,US,web,21.34,0
211,2025-02-25 20:00:00,20,20165,3077,ecom,CA,android,11.4,0
212,2025-01-22 12:00:00,12,8292,2995,ecom,AU,ios,14.34,0
213,2025-01-13 16:00:00,16,7510,944,card_present,IN,android,26.8,0
214,2025-01-11 08:00:00,8,1744,2951,card_present,IN,android,44.22,0
215,2025-03-06 14:00:00,14,5771,634,card_present,CA,web,18.96,0
216,2025-01-08 00:00:00,0,19201,43,ecom,GB,android,31.06,0
217,2025-04-05 15:00:00,15,4482,1494,ecom,US,android,20.88,0
218,2025-03-11 14:00:00,14,17789,1801,card_present,US,web,22.85,0
219,2025-02-17 02:00:00,2,17154,1786,card_present,US,android,7.15,0
220,2025-01-03 12:00:00,12,24443,3759,card_present,US,android,13.44,0
221,2025-03-23 18:00:00,18,7583,549,ecom,US,android,15.24,0
222,2025-03-26 08:00:00,8,20435,1698,card_present,GB,android,41.64,0
223,2025-03-27 05:00:00,5,3475,3981,card_present,GB,web,12.27,0
224,2025-01-01 05:00:00,5,25000,3330,card_present,US,android,16.59,0
225,2025-04-22 20:00:00,20,21399,3153,card_present,US,web,97.9,0
226,2025-02-04 07:00:00,7,23779,1901,ecom,IN,ios,43.05,0
227,2025-02-08 08:00:00,8,24163,3469,mobile_wallet,IN,web,11.65,0
228,2025-04-29 05:00:00,5,19228,2549,card_present,US,ios,78.33,0
229,2025-03-21 19:00:00,19,19412,927,mobile_wallet,IN,android,39.47,0
230,2025-04-08 17:00:00,17,7242,1945,card_present,US,android,19.29,0
231,2025-02-25 18:00:00,18,18288,506,ecom,GB,android,26.26,0
232,2025-04-12 06:00:00,6,11133,2988,card_present,US,android,21.46,0
233,2025-04-29 04:00:00,4,1936,2203,card_present,IN,android,25.65,0
234,2025-02-23 00:00:00,0,8344,2138,card_present,US,ios,8.81,0
235,2025-01-07 05:00:00,5,4097,3563,mobile_wallet,US,android,6.9,0
236,2025-03-01 23:00:00,23,14650,2648,ecom,AU,android,20.64,0
237,2025-02-05 18:00:00,18,2140,967,ecom,DE,web,24.52,0
238,2025-04-11 00:00:00,0,15577,578,card_present,US,android,14.55,0
239,2025-04-30 21:00:00,21,24254,3811,card_present,US,android,15.56,0
240,2025-03-04 17:00:00,17,9302,1031,card_present,GB,web,39.5,0
241,2025-02-19 14:00:00,14,5265,3558,mobile_wallet,CA,ios,40.08,0
242,2025-04-18 22:00:00,22,9505,1035,card_present,DE,android,31.89,0
243,2025-01-18 06:00:00,6,17978,3566,card_present,US,android,38.77,0
244,2025-03-19 19:00:00,19,11813,1533,mobile_wallet,US,web,77.2,0
245,2025-04-28 11:00:00,11,14758,620,ecom,US,web,20.08,0
246,2025-01-13 23:00:00,23,9838,3222,ecom,AU,android,19.61,0
247,2025-02-01 21:00:00,21,16926,2829,card_present,IN,android,28.39,0
248,2025-01-10 13:00:00,13,21310,3013,ecom,US,android,8.74,0
249,2025-02-20 05:00:00,5,1547,2016,card_present,US,android,24.22,0
250,2025-03-17 13:00:00,13,20201,1623,ecom,US,ios,29.62,0
251,2025-03-26 06:00:00,6,14620,1242,card_present,US,web,6.03,0
252,2025-02-20 05:00:00,5,1285,2300,ecom,US,android,22.75,0
253,2025-03-28 01:00:00,1,12850,1143,mobile_wallet,GB,android,18.61,0
254,2025-01-15 04:00:00,4,20483,1709,ecom,IN,web,25.2,0
255,2025-04-16 03:00:00,3,20063,1319,card_present,IN,ios,25.45,0
256,2025-03-26 17:00:00,17,17075,2411,card_present,IN,android,9.15,0
257,2025-04-12 15:00:00,15,13870,1820,card_present,US,web,36.62,0
258,2025-01-10 14:00:00,14,6076,2027,card_present,US,android,22.73,0
259,2025-02-19 23:00:00,23,13204,2899,card_present,US,web,14.77,0
260,2025-02-21 10:00:00,10,12856,1726,card_present,DE,web,44.73,0
261,2025-02-16 05:00:00,5,23939,2996,card_present,US,web,8.76,0
262,2025-03-30 13:00:00,13,17746,2639,card_present,CA,ios,31.7,0
263,2025-03-09 03:00:00,3,8885,2940,ecom,US,android,14.05,0
264,2025-04-15 04:00:00,4,5836,1858,mobile_wallet,DE,ios,11.06,0
265,2025-01-13 03:00:00,3,4309,2817,card_present,US,ios,71.78,0
266,2025-01-07 14:00:00,14,12458,888,card_present,US,android,42.48,0
267,2025-02-02 20:00:00,20,14832,2728,card_present,US,web,51.15,0
268,2025-01-05 11:00:00,11,18127,2097,ecom,US,android,22.71,0
269,2025-02-14 00:00:00,0,14574,1625,card_present,DE,ios,38.25,0
270,2025-01-18 05:00:00,5,2114,2070,ecom,IN,android,30.59,0
271,2025-01-28 13:00:00,13,16435,3977,card_present,IN,web,13.82,0
272,2025-04-14 15:00:00,15,8867,3803,ecom,IN,web,31.54,0
273,2025-01-17 16:00:00,16,10469,1597,card_present,IN,android,34.59,0
274,2025-01-24 04:00:00,4,13931,3487,card_present,US,ios,41.17,0
275,2025-02-04 07:00:00,7,1091,1238,ecom,IN,web,10.34,0
276,2025-04-11 23:00:00,23,17227,2823,mobile_wallet,GB,android,10.8,0
277,2025-01-17 21:00:00,21,8523,1701,card_present,GB,android,58.42,0
278,2025-02-08 03:00:00,3,13168,1688,ecom,CA,ios,77.83,0
279,2025-02-16 02:00:00,2,18901,3589,mobile_wallet,US,ios,17.99,0
280,2025-04-14 11:00:00,11,2166,921,card_present,GB,ios,34.48,0
281,2025-03-24 13:00:00,13,20062,1753,card_present,US,web,17.28,0
282,2025-01-09 00:00:00,0,18523,2711,ecom,IN,ios,22.28,0
283,2025-02-03 08:00:00,8,803,3163,ecom,DE,web,10.5,0
284,2025-01-23 15:00:00,15,20391,705,card_present,US,ios,13.82,0
285,2025-03-16 21:00:00,21,19074,2994,ecom,GB,ios,15.75,0
286,2025-03-25 09:00:00,9,19423,893,ecom,US,ios,22.27,0
287,2025-02-04 00:00:00,0,22406,3874,card_present,CA,android,25.6,0
288,2025-03-28 18:00:00,18,24329,2217,card_present,US,android,50.2,0
289,2025-04-02 02:00:00,2,4128,2744,card_present,CA,web,28.74,0
290,2025-04-19 05:00:00,5,8121,430,ecom,GB,web,28.08,0
291,2025-01-14 17:00:00,17,2321,1784,ecom,US,android,20.22,0
292,2025-04-06 00:00:00,0,370,2955,ecom,CA,android,7.35,0
293,2025-04-29 11:00:00,11,23835,332,card_present,DE,ios,19.06,0
294,2025-01-20 06:00:00,6,3881,3764,ecom,AU,web,18.25,0
295,2025-04-29 12:00:00,12,639,3321,mobile_wallet,US,android,13.21,0
296,2025-03-15 02:00:00,2,10048,967,mobile_wallet,AU,ios,35.97,0
297,2025-04-02 10:00:00,10,2066,656,card_present,US,android,14.73,0
298,2025-01-10 22:00:00,22,17317,349,card_present,CA,ios,41.64,0
299,2025-01-31 13:00:00,13,11697,511,card_present,US,android,25.45,0
300,2025-03-18 23:00:00,23,12482,14,card_present,GB,android,45.84,0
301,2025-03-01 00:00:00,0,3062,1054,ecom,AU,android,28.69,0
302,2025-01-06 21:00:00,21,9231,3583,card_present,US,android,40.07,0
303,2025-03-27 06:00:00,6,19219,931,ecom,GB,ios,26.57,0
304,2025-03-22 04:00:00,4,5944,2839,ecom,CA,android,28.56,0
305,2025-03-28 18:00:00,18,23678,3800,card_present,CA,android,13.24,0
306,2025-02-06 00:00:00,0,6819,3379,card_present,US,android,39.26,0
307,2025-02-11 08:00:00,8,21848,1069,card_present,GB,ios,27.14,0
308,2025-01-02 02:00:00,2,20630,2644,card_present,IN,android,21.3,0
309,2025-02-08 10:00:00,10,13876,2393,card_present,US,android,51.51,1
310,2025-03-23 07:00:00,1,19647,832,ecom,US,android,182.63,1
311,2025-04-25 02:00:00,2,3828,1918,ecom,GB,ios,31.04,0
312,2025-04-19 23:00:00,23,3093,1039,card_present,GB,android,27.85,0
313,2025-02-23 12:00:00,12,17252,413,ecom,AU,web,51.49,0
314,2025-02-06 05:00:00,5,7697,2721,card_present,US,web,54.02,0
315,2025-01-21 03:00:00,3,7216,506,ecom,US,web,14.38,0
316,2025-01-15 14:00:00,14,11782,1005,card_present,US,android,15.82,0
317,2025-03-27 21:00:00,21,4045,1286,mobile_wallet,CA,android,15.43,0
318,2025-04-26 05:00:00,5,11023,2248,ecom,CA,android,32.87,0
319,2025-02-14 19:00:00,19,1748,3226,card_present,AU,ios,22.09,0
320,2025-02-24 00:00:00,0,22678,3396,mobile_wallet,CA,android,10.17,0
321,2025-01-23 09:00:00,9,865,147,card_present,US,ios,15.76,0
322,2025-02-28 01:00:00,1,13715,350,card_present,US,ios,13.88,0
323,2025-04-29 12:00:00,12,20508,1896,card_present,US,ios,13.06,0
324,2025-03-16 14:00:00,14,24310,3024,ecom,US,android,6.41,0
325,2025-01-21 03:00:00,3,749,1578,card_present,IN,web,23.14,0
326,2025-04-28 22:00:00,22,3513,1691,mobile_wallet,US,ios,9.0,0
327,2025-04-07 01:00:00,1,16880,1413,card_present,US,web,14.43,0
328,2025-03-04 02:00:00,2,594,2663,mobile_wallet,GB,web,33.4,0
329,2025-02-13 09:00:00,9,17321,3676,card_present,IN,ios,21.88,0
330,2025-02-16 21:00:00,21,8007,3629,ecom,GB,android,34.18,0
331,2025-01-31 21:00:00,21,19027,1365,card_present,US,web,16.27,0
332,2025-01-27 06:00:00,6,21350,3937,mobile_wallet,US,android,37.41,0
333,2025-02-09 22:00:00,22,4210,3541,card_present,US,android,24.93,0
334,2025-02-01 07:00:00,7,7024,821,card_present,US,android,30.46,0
335,2025-03-20 20:00:00,20,23578,783,card_present,IN,android,88.86,0
336,2025-03-24 13:00:00,13,18483,3205,ecom,US,android,15.05,0
337,2025-03-31 15:00:00,15,13993,2395,ecom,CA,ios,72.66,0
338,2025-02-08 02:00:00,2,134,1160,ecom,CA,ios,26.8,0
339,2025-04-27 11:00:00,11,2904,3583,ecom,US,android,29.3,0
340,2025-02-12 00:00:00,0,6184,1383,card_present,US,web,58.34,0
341,2025-02-08 14:00:00,14,10479,1095,ecom,IN,ios,25.73,0
342,2025-03-20 17:00:00,17,6204,421,card_present,US,ios,48.04,0
343,2025-01-02 07:00:00,7,18041,2625,card_present,IN,android,20.17,0
344,2025-03-12 16:00:00,16,16176,3029,card_present,US,android,18.16,0
345,2025-01-05 00:00:00,0,15945,900,card_present,CA,web,43.03,0
346,2025-02-22 02:00:00,2,6264,1994,card_present,GB,web,35.57,0
347,2025-01-17 12:00:00,12,6563,2475,card_present,US,ios,23.99,0
348,2025-02-26 14:00:00,14,10353,1987,ecom,US,web,28.45,0
349,2025-01-29 10:00:00,10,22345,901,card_present,US,web,11.78,0
350,2025-03-10 11:00:00,11,21004,3247,card_present,DE,android,30.25,0
351,2025-02-12 04:00:00,4,7728,2931,ecom,AU,ios,8.3,0
352,2025-03-06 18:00:00,18,1754,1879,ecom,US,android,25.42,0
353,2025-01-31 23:00:00,23,1018,3161,card_present,CA,android,16.63,0
354,2025-03-16 08:00:00,8,13013,3635,card_present,GB,web,80.43,0
355,2025-03-05 20:00:00,20,13464,2585,card_present,GB,web,25.16,0
356,2025-03-07 00:00:00,0,8259,2273,card_present,CA,android,16.34,0
357,2025-01-11 02:00:00,2,21274,2416,card_present,US,android,20.59,0
358,2025-01-26 17:00:00,17,15046,2658,card_present,CA,ios,40.44,0
359,2025-01-31 14:00:00,14,24744,2109,card_present,IN,web,15.19,0
360,2025-03-11 13:00:00,13,9267,479,ecom,IN,ios,45.82,0
361,2025-02-19 03:00:00,3,10253,582,ecom,US,web,43.87,0
362,2025-02-08 04:00:00,4,15250,3707,card_present,US,web,41.24,0
363,2025-02-11 21:00:00,21,18589,2476,card_present,IN,ios,37.53,0
364,2025-01-09 23:00:00,23,19144,1013,card_present,AU,web,27.19,0
365,2025-04-19 20:00:00,20,14587,1234,card_present,IN,ios,21.27,0
366,2025-02-02 00:00:00,0,5744,234,card_present,US,web,25.74,0
367,2025-02-26 17:00:00,17,15238,3149,ecom,CA,web,17.29,0
