order_id,customer_id,order_date,items,revenue
O00000254,C000031,2025-08-24,1,19.88
O00000255,C000031,2025-10-28,4,10.22
O00000256,C000031,2025-11-21,2,13.01
O00000257,C000032,2024-05-08,3,115.32
O00000258,C000032,2024-05-28,4,78.1
O00000259,C000032,2024-05-30,3,94.49
O00000260,C000032,2024-07-23,5,71.72
O00000261,C000032,2024-09-10,5,131.17
O00000262,C000032,2024-10-04,4,70.36
O00000263,C000032,2024-11-05,3,110.02
O00000264,C000032,2025-01-16,6,94.56
O00000265,C000032,2025-01-17,2,123.7
O00000266,C000032,2025-02-11,2,138.2
O00000267,C000032,2025-02-19,1,98.08
O00000268,C000032,2025-05-19,2,80.63
O00000269,C000032,2025-06-03,4,101.03
O00000270,C000032,2025-08-19,5,143.15
O00000271,C000032,2025-11-27,7,53.34
O00000272,C000032,2025-12-10,6,65.16
O00000273,C000033,2024-01-11,6,25.82
O00000274,C000033,2024-05-26,3,24.38
O00000275,C000033,2024-09-29,5,25.05
O00000276,C000033,2024-11-24,1,23.29
O00000277,C000033,2025-03-08,3,26.68
O00000278,C000033,2025-04-05,1,33.01
O00000279,C000034,2024-01-09,4,36.05
O00000280,C000034,2025-02-16,1,44.4
O00000281,C000034,2025-09-12,3,26.18
O00000282,C000034,2025-09-22,4,40.15
O00000283,C000034,2025-12-13,1,34.89
O00000284,C000035,2024-01-11,4,33.54
O00000285,C000035,2024-04-20,4,34.85
O00000286,C000035,2024-08-13,3,36.1
O00000287,C000035,2024-10-22,2,32.67
O00000288,C000035,2024-11-15,2,40.93
O00000289,C000035,2024-12-12,1,46.06
O00000290,C000035,2025-02-23,4,42.24
O00000291,C000035,2025-04-08,3,30.68
O00000292,C000035,2025-07-10,5,24.83
O00000293,C000035,2025-08-19,3,42.29
O00000294,C000035,2025-10-02,3,48.4
O00000295,C000036,2024-02-03,3,68.4
O00000296,C000036,2024-03-10,3,77.07
O00000297,C000036,2024-05-26,2,121.53
O00000298,C000036,2024-09-04,4,99.06
O00000299,C000036,2024-10-07,4,63.59
O00000300,C000036,2024-10-07,3,91.22
O00000301,C000036,2024-12-30,5,89.13
O00000302,C000036,2025-02-11,4,63.17
O00000303,C000036,2025-06-01,2,79.06
O00000304,C000036,2025-09-05,4,81.09
O00000305,C000036,2025-10-23,4,66.83
O00000306,C000037,2024-02-21,5,13.86
O00000307,C000037,2024-02-24,4,8.72
O00000308,C000037,2024-06-06,3,10.06
O00000309,C000037,2025-06-06,5,8.77
O00000310,C000037,2025-06-22,5,13.52
O00000311,C000038,2024-01-09,4,37.97
O00000312,C000038,2024-01-18,1,23.31
O00000313,C000038,2024-05-02,4,37.4
O00000314,C000038,2024-08-22,1,35.86
O00000315,C000038,2024-09-29,2,30.04
O00000316,C000038,2024-10-10,2,35.49
O00000317,C000038,2025-01-16,3,24.58
O00000318,C000038,2025-01-24,4,38.2
O00000319,C000038,2025-02-03,2,31.19
O00000320,C000038,2025-11-23,6,42.1
O00000321,C000039,2024-07-12,2,23.79
O00000322,C000039,2024-09-22,3,18.26
O00000323,C000039,2025-06-16,5,21.21
O00000324,C000039,2025-09-12,3,21.32
O00000325,C000039,2025-10-04,2,15.27
O00000326,C000039,2025-12-25,5,20.64
O00000327,C000040,2024-05-29,4,32.31
O00000328,C000040,2024-08-02,2,16.87
O00000329,C000040,2024-08-18,4,32.08
O00000330,C000040,2024-08-27,3,28.84
O00000331,C000040,2024-10-12,2,25.59
O00000332,C000040,2025-01-11,4,32.01
O00000333,C000040,2025-04-16,4,37.11
O00000334,C000040,2025-06-19,5,34.44
O00000335,C000040,2025-07-16,4,28.33
O00000336,C000040,2025-07-20,3,28.35
O00000337,C000040,2025-08-18,1,23.32
O00000338,C000040,2025-08-18,1,12.3
O00000339,C000040,2025-09-29,3,11.03
O00000340,C000040,2025-12-05,1,31.71
O00000341,C000041,2024-04-27,1,21.91
O00000342,C000041,2024-06-26,1,26.69
O00000343,C000041,2024-11-22,2,32.56
O00000344,C000041,2025-02-23,3,31.99
O00000345,C000041,2025-02-26,1,41.51
O00000346,C000041,2025-05-31,4,35.58
O00000347,C000042,2024-01-03,2,44.66
O00000348,C000042,2024-02-12,4,26.52
O00000349,C000042,2024-03-18,6,26.5
O00000350,C000042,2024-04-02,2,20.82
O00000351,C000042,2024-05-21,2,21.42
O00000352,C000042,2024-12-22,3,28.57
O00000353,C000042,2025-02-08,3,31.01
O00000354,C000042,2025-03-22,2,29.52
O00000355,C000042,2025-04-06,6,29.47
O00000356,C000042,2025-04-28,2,17.94
O00000357,C000042,2025-06-25,3,22.64
O00000358,C000042,2025-08-16,4,23.73
O00000359,C000042,2025-10-01,4,29.57
O00000360,C000042,2025-10-10,2,20.84
O00000361,C000042,2025-11-12,3,29.22
O00000362,C000042,2025-11-18,4,33.55
O00000363,C000043,2025-08-31,4,6.96
O00000364,C000044,2024-09-18,4,61.62
O00000365,C000044,2025-04-18,4,66.24
O00000366,C000044,2025-09-16,2,57.04
O00000367,C000044,2025-12-22,5,40.15
O00000368,C000045,2024-01-31,2,48.46
O00000369,C000045,2024-12-24,4,38.6
O00000370,C000045,2025-01-31,2,31.71
O00000371,C000046,2024-01-25,4,20.88
O00000372,C000046,2024-02-08,3,41.12
O00000373,C000046,2024-07-30,2,30.72
O00000374,C000046,2024-09-19,4,34.76
O00000375,C000046,2024-12-24,3,30.7
O00000376,C000046,2024-12-29,2,32.09
O00000377,C000046,2025-02-14,3,22.83
O00000378,C000046,2025-05-06,2,30.36
O00000379,C000046,2025-07-16,3,19.19
O00000380,C000047,2024-02-09,2,43.83
O00000381,C000047,2024-03-06,5,42.64
O00000382,C000047,2024-04-29,1,59.79
O00000383,C000047,2024-06-07,1,38.12
O00000384,C000047,2024-11-11,3,49.59
O00000385,C000047,2024-11-21,6,49.63
O00000386,C000047,2025-02-20,3,33.06
O00000387,C000047,2025-04-03,3,45.67
O00000388,C000047,2025-06-02,5,43.22
O00000389,C000048,2024-10-06,5,31.34
O00000390,C000048,2025-03-13,2,38.47
O00000391,C000048,2025-03-29,5,30.77
O00000392,C000048,2025-12-12,3,31.47
O00000393,C000049,2024-02-14,4,80.09
O00000394,C000049,2024-04-19,5,68.61
O00000395,C000049,2024-09-01,3,57.12
O00000396,C000049,2024-09-10,5,58.47
O00000397,C000049,2024-10-01,6,23.69
O00000398,C000049,2024-12-10,3,65.83
O00000399,C000049,2025-02-10,4,58.95
O00000400,C000049,2025-02-15,3,58.71
O00000401,C000049,2025-05-07,4,50.91
O00000402,C000049,2025-06-26,5,68.34
O00000403,C000049,2025-12-01,2,69.16
O00000404,C000049,2025-12-15,1,29.89
O00000405,C000049,2025-12-25,4,90.7
O00000406,C000050,2025-03-28,5,39.27
O00000407,C000050,2025-05-07,2,41.21
O00000408,C000051,2024-02-02,4,9.03
O00000409,C000051,2024-02-03,3,7.67
O00000410,C000051,2024-08-13,2,9.77
O00000411,C000051,2024-12-08,1,5.32
O00000412,C000051,2025-02-27,1,5.0
O00000413,C000051,2025-11-30,3,9.09
O00000414,C000052,2024-01-08,3,30.58
O00000415,C000052,2024-02-02,2,26.33
O00000416,C000052,2024-05-15,2,18.03
O00000417,C000052,2024-08-29,4,29.24
O00000418,C000052,2024-10-17,3,21.97
O00000419,C000052,2025-01-30,4,32.17
O00000420,C000052,2025-02-20,4,29.19
O00000421,C000052,2025-04-12,2,33.36
O00000422,C000052,2025-05-25,2,22.21
O00000423,C000052,2025-06-01,5,27.63
O00000424,C000052,2025-06-02,1,28.85
O00000425,C000052,2025-09-26,7,36.65
O00000426,C000052,2025-10-13,3,23.73
O00000427,C000052,2025-11-10,6,37.93
O00000428,C000052,2025-11-29,5,8.69
O00000429,C000053,2024-05-13,2,26.95
O00000430,C000053,2024-06-08,2,22.25
O00000431,C000053,2024-07-27,4,25.06
O00000432,C000053,2024-08-02,3,29.12
O00000433,C000053,2025-03-15,1,24.43
O00000434,C000053,2025-04-16,4,25.74
O00000435,C000053,2025-08-10,6,25.56
O00000436,C000053,2025-12-23,4,17.88
O00000437,C000054,2024-02-28,3,18.66
O00000438,C000054,2024-06-19,1,20.56
O00000439,C000054,2024-08-02,6,22.97
O00000440,C000054,2024-08-16,3,23.3
O00000441,C000054,2024-08-16,3,15.97
O00000442,C000054,2024-08-20,4,10.64
O00000443,C000054,2024-09-01,3,15.7
O00000444,C000054,2024-11-21,3,19.64
O00000445,C000054,2025-01-25,4,18.38
O00000446,C000054,2025-07-29,3,19.55
O00000447,C000054,2025-09-01,5,18.74
O00000448,C000054,2025-11-15,5,15.61
O00000449,C000054,2025-12-24,4,24.75
O00000450,C000055,2024-01-24,2,15.47
O00000451,C000055,2024-05-22,2,13.81
O00000452,C000055,2024-11-06,2,20.69
O00000453,C000055,2024-11-21,4,14.9
O00000454,C000055,2024-11-24,2,14.6
O00000455,C000055,2025-04-16,5,19.09
O00000456,C000055,2025-05-25,1,19.94
O00000457,C000055,2025-10-03,6,25.12
O00000458,C000056,2024-02-08,3,36.37
O00000459,C000056,2024-02-19,2,58.69
O00000460,C000056,2024-04-29,3,57.68
O00000461,C000056,2024-06-10,4,33.96
O00000462,C000056,2024-06-24,2,37.65
O00000463,C000056,2024-08-14,2,43.42
O00000464,C000056,2024-11-09,1,48.84
O00000465,C000056,2025-02-02,2,45.92
O00000466,C000056,2025-04-22,3,44.21
O00000467,C000056,2025-04-26,4,48.81
O00000468,C000056,2025-07-30,3,49.61
O00000469,C000056,2025-09-23,2,37.47
O00000470,C000056,2025-09-25,4,30.02
O00000471,C000056,2025-12-04,1,26.1
O00000472,C000056,2025-12-12,4,35.1
O00000473,C000057,2024-01-20,4,41.8
O00000474,C000057,2024-02-01,5,41.86
O00000475,C000057,2025-01-01,5,44.02
O00000476,C000057,2025-01-05,9,49.55
O00000477,C000057,2025-01-07,4,56.71
O00000478,C000057,2025-05-11,3,41.82
O00000479,C000058,2024-06-08,8,34.22
O00000480,C000058,2024-06-25,4,20.18
O00000481,C000058,2024-08-01,3,26.88
O00000482,C000058,2024-10-12,3,33.04
O00000483,C000058,2025-07-21,4,43.33
O00000484,C000058,2025-09-17,2,34.09
O00000485,C000058,2025-09-25,1,25.15
O00000486,C000059,2024-02-15,5,20.7
O00000487,C000059,2024-04-01,5,31.24
O00000488,C000059,2024-04-27,3,16.16
O00000489,C000059,2024-05-19,4,17.02
O00000490,C000059,2024-08-23,1,33.29
O00000491,C000059,2024-09-21,4,29.78
O00000492,C000059,2024-12-29,3,13.48
O00000493,C000059,2025-02-16,3,20.18
O00000494,C000059,2025-07-04,4,26.58
O00000495,C000059,2025-09-14,1,14.28
O00000496,C000059,2025-12-13,4,23.03
O00000497,C000059,2025-12-13,3,26.04
O00000498,C000060,2024-03-21,2,48.4
O00000499,C000060,2024-08-30,3,56.32
O00000500,C000060,2024-09-01,3,58.95
O00000501,C000060,2024-10-23,5,61.06
O00000502,C000060,2024-10-27,1,17.32
O00000503,C000060,2024-12-13,4,64.4
O00000504,C000060,2025-02-04,4,35.62
O00000505,C000060,2025-03-12,3,50.18
O00000506,C000060,2025-03-18,3,52.07
O00000507,C000060,2025-07-12,1,37.24
O00000508,C000060,2025-10-19,4,61.57
O00000509,C000061,2024-09-12,3,40.99
O00000510,C000061,2024-09-16,5,39.06
O00000511,C000061,2024-12-27,3,58.1
O00000512,C000061,2024-12-29,3,63.5
O00000513,C000061,2025-04-11,4,40.92
O00000514,C000061,2025-04-19,3,49.6
O00000515,C000061,2025-05-19,3,43.06
O00000516,C000061,2025-11-27,3,39.47
O00000517,C000062,2025-03-22,3,34.29
O00000518,C000062,2025-09-30,3,40.79
O00000519,C000062,2025-11-02,2,41.23
O00000520,C000062,2025-11-07,2,35.84
O00000521,C000063,2024-05-20,1,59.05
O00000522,C000063,2024-05-24,4,58.51
O00000523,C000063,2024-07-12,2,33.46
O00000524,C000063,2024-07-27,4,56.11
O00000525,C000063,2024-09-26,5,45.66
O00000526,C000063,2025-01-11,3,55.54
O00000527,C000063,2025-03-22,3,48.02
O00000528,C000063,2025-03-23,1,47.54
O00000529,C000063,2025-05-07,5,70.52
O00000530,C000063,2025-06-09,1,41.57
O00000531,C000063,2025-06-15,3,78.45
O00000532,C000063,2025-11-25,1,40.44
O00000533,C000063,2025-12-26,2,80.85
O00000534,C000064,2024-04-17,4,30.25
O00000535,C000064,2024-05-17,2,36.29
O00000536,C000064,2024-08-01,4,53.73
O00000537,C000064,2024-10-07,4,31.05
O00000538,C000064,2024-11-13,1,35.03
O00000539,C000064,2025-01-14,2,47.89
O00000540,C000064,2025-08-17,4,50.94
O00000541,C000064,2025-10-04,4,24.01
O00000542,C000066,2024-09-01,3,19.48
O00000543,C000066,2024-10-10,2,33.43
O00000544,C000066,2025-01-03,5,34.59
O00000545,C000066,2025-11-03,6,25.06
O00000546,C000066,2025-12-19,3,37.56
O00000547,C000067,2024-01-19,1,15.73
O00000548,C000067,2024-01-23,4,28.04
O00000549,C000067,2024-04-01,3,35.11
O00000550,C000067,2024-08-24,2,29.03
O00000551,C000067,2024-09-14,4,37.69
O00000552,C000067,2024-10-01,2,29.15
O00000553,C000067,2025-01-17,3,35.84
O00000554,C000067,2025-05-12,4,25.31
O00000555,C000067,2025-07-07,2,29.74
O00000556,C000067,2025-07-28,1,22.0
O00000557,C000068,2024-03-20,4,45.52
O00000558,C000068,2024-04-12,3,58.57
O00000559,C000068,2024-05-25,3,57.95
O00000560,C000068,2024-05-25,5,45.86
O00000561,C000068,2024-11-07,1,28.74
O00000562,C000068,2024-12-31,1,51.25
O00000563,C000068,2025-03-09,3,61.8
O00000564,C000068,2025-05-13,2,57.4
O00000565,C000068,2025-08-07,2,65.58
O00000566,C000068,2025-10-22,6,51.54
O00000567,C000069,2024-02-23,3,19.43
O00000568,C000069,2024-04-14,5,9.66
O00000569,C000069,2024-05-02,2,10.68
O00000570,C000069,2024-06-21,1,18.21
O00000571,C000069,2024-07-01,2,14.39
O00000572,C000069,2024-10-15,3,19.59
O00000573,C000069,2024-10-29,5,20.7
O00000574,C000069,2025-02-05,2,19.17
O00000575,C000069,2025-02-08,5,19.2
O00000576,C000069,2025-08-10,3,18.91
O00000577,C000069,2025-12-06,5,16.8
O00000578,C000069,2025-12-12,2,17.51
O00000579,C000069,2025-12-29,4,17.44
O00000580,C000070,2024-07-18,4,36.71
O00000581,C000070,2024-12-19,1,56.12
O00000582,C000070,2025-05-07,2,37.67
O00000583,C000070,2025-05-13,1,64.41
O00000584,C000070,2025-05-25,4,60.95
O00000585,C000070,2025-11-19,4,39.35
O00000586,C000071,2024-03-12,2,16.56
O00000587,C000071,2024-12-05,5,16.6
O00000588,C000071,2025-05-30,2,13.73
O00000589,C000071,2025-07-14,3,23.21
O00000590,C000071,2025-11-03,2,30.6
O00000591,C000071,2025-12-09,2,22.35
O00000592,C000072,2024-01-23,3,19.11
O00000593,C000072,2024-01-25,3,28.03
O00000594,C000072,2024-02-14,5,27.59
O00000595,C000072,2024-02-15,1,21.07
O00000596,C000072,2024-03-11,2,25.51
O00000597,C000072,2024-03-15,2,20.43
O00000598,C000072,2024-10-05,3,19.82
O00000599,C000072,2025-05-22,4,17.82
O00000600,C000072,2025-06-11,4,26.35
O00000601,C000072,2025-07-20,3,20.59
O00000602,C000072,2025-08-04,3,18.22
O00000603,C000072,2025-08-15,4,16.4
O00000604,C000073,2024-01-11,4,65.26
O00000605,C000073,2024-03-15,1,79.29
O00000606,C000073,2024-05-17,2,75.84
O00000607,C000073,2024-07-09,2,66.37
O00000608,C000073,2024-07-31,8,68.44
O00000609,C000073,2024-10-15,2,72.69
O00000610,C000073,2024-10-28,3,76.84
O00000611,C000073,2025-01-28,3,83.41
O00000612,C000073,2025-02-12,4,77.29
O00000613,C000073,2025-02-28,3,69.64
O00000614,C000073,2025-05-05,3,59.06
O00000615,C000073,2025-06-27,5,65.52
O00000616,C000073,2025-10-06,2,68.1
O00000617,C000073,2025-10-23,1,52.8
O00000618,C000073,2025-10-24,6,52.31
O00000619,C000074,2024-11-14,2,30.68
O00000620,C000074,2025-03-20,2,14.94
O00000621,C000074,2025-05-07,3,8.33
O00000622,C000074,2025-05-11,2,13.32
O00000623,C000074,2025-05-24,8,28.98
O00000624,C000075,2024-02-02,2,39.83
O00000625,C000075,2024-02-16,2,64.19
O00000626,C000075,2024-03-21,3,42.53
O00000627,C000075,2024-04-22,2,47.9
O00000628,C000075,2025-01-11,6,44.66
O00000629,C000075,2025-03-01,5,27.87
O00000630,C000075,2025-06-07,2,47.8
O00000631,C000075,2025-09-21,2,48.38
O00000632,C000075,2025-10-08,1,41.23
O00000633,C000075,2025-10-24,4,53.99
O00000634,C000076,2024-04-15,4,17.73
